txn_id,account_id,booking_date,value_date,amount,fee_amount,currency,txn_type,channel,category,merchant,status,reference,counterparty,description,source_system
TXN000034,ACC10061,2024-05-10,2024-05-11,202.5,0.0,USD,DEBIT,MOBILE,Grocery,CVS Pharmacy,POSTED,REF230617,CP3234,Grocery via MOBILE,SETTLEMENT_FEED
TXN000035,ACC10075,2024-05-18,2024-05-18,121.89,0.0,EUR,DEBIT,CARD,Healthcare,Netflix,POSTED,REF515492,CP5574,Healthcare via CARD,SETTLEMENT_FEED
TXN000036,ACC10055,2024-08-21,2024-08-21,51.63,0.0,USD,CREDIT,CARD,Utilities,Netflix,POSTED,REF485112,CP8069,Utilities via CARD,SETTLEMENT_FEED
TXN000037,ACC10048,2024-04-08,2024-04-10,30.78,0.0,USD,CREDIT,CHECK,Restaurant,Uber,POSTED,REF928410,CP1324,Restaurant via CHECK,SETTLEMENT_FEED
TXN000038,ACC10023,2024-01-23,2024-01-24,61.13,0.0,USD,CREDIT,CARD,Healthcare,ATM Network,POSTED,REF683152,CP6283,Healthcare via CARD,SETTLEMENT_FEED
TXN000039,ACC10052,2024-07-07,2024-07-07,44.96,0.0,USD,DEBIT,CARD,Grocery,CVS Pharmacy,POSTED,REF965593,CP5614,Grocery via CARD,SETTLEMENT_FEED
TXN000040,ACC10064,2024-07-23,2024-07-24,23.89,0.0,USD,DEBIT,ONLINE,Fee,Uber,PENDING,REF383005,CP5673,Fee via ONLINE,SETTLEMENT_FEED
TXN000041,ACC10066,2024-01-28,2024-01-30,62.17,0.0,USD,CREDIT,CARD,Payroll,Chase Settlement,POSTED,REF608765,CP4006,Payroll via CARD,SETTLEMENT_FEED
TXN000042,ACC10039,2024-08-04,2024-08-04,7.45,0.0,USD,DEBIT,CARD,Grocery,CVS Pharmacy,PENDING,REF435035,CP7381,Grocery via CARD,SETTLEMENT_FEED
TXN000043,ACC10012,2024-01-29,2024-01-30,44.8,0.0,EUR,CREDIT,CHECK,Fee,Stripe Payout,POSTED,REF482023,CP3798,Fee via CHECK,SETTLEMENT_FEED
TXN000044,ACC10061,2024-08-10,2024-08-11,1.47,2.5,USD,CREDIT,ATM,Fee,Uber,POSTED,REF520053,CP2473,Fee via ATM,SETTLEMENT_FEED
TXN000046,ACC10035,2024-01-20,2024-01-20,182.77,0.0,EUR,DEBIT,CARD,Travel,CVS Pharmacy,POSTED,REF375709,CP2628,Travel via CARD,SETTLEMENT_FEED
TXN000047,ACC10019,2024-02-16,2024-02-16,142.77,0.0,USD,CREDIT,ACH,Subscription,Starbucks,POSTED,REF543960,CP1125,Subscription via ACH,SETTLEMENT_FEED
TXN000048,ACC10006,2024-07-21,2024-07-22,3049.2,2.5,USD,DEBIT,WIRE,Subscription,Netflix,POSTED,REF152297,CP7523,Subscription via WIRE,SETTLEMENT_FEED
TXN000049,ACC10029,2024-03-22,2024-03-22,58.37,0.0,USD,DEBIT,CARD,Subscription,Internal Transfer,PENDING,REF432880,CP5542,Subscription via CARD,SETTLEMENT_FEED
TXN000050,ACC10034,2024-04-02,2024-04-02,20.09,0.0,USD,DEBIT,CARD,Subscription,Stripe Payout,POSTED,REF925602,CP6660,Subscription via CARD,SETTLEMENT_FEED
TXN000051,ACC10050,2024-03-22,2024-03-22,127.37,0.0,USD,CREDIT,ACH,Payroll,ACME Payroll,POSTED,REF478240,CP3767,Payroll via ACH,SETTLEMENT_FEED
TXN000052,ACC10011,2024-02-10,2024-02-11,295.85,0.0,USD,CREDIT,ACH,ATM Withdrawal,Chase Settlement,REVERSED,REF658321,CP8910,ATM Withdrawal via ACH,SETTLEMENT_FEED
TXN000053,ACC10038,2024-08-04,2024-08-04,182.4,0.0,USD,DEBIT,ONLINE,ATM Withdrawal,Stripe Payout,SETTLED,REF166760,CP2026,ATM Withdrawal via ONLINE,SETTLEMENT_FEED
TXN000054,ACC10040,2024-08-18,2024-08-19,43.67,0.0,GBP,DEBIT,CARD,Fee,Amazon,REVERSED,REF359405,CP8392,Fee via CARD,SETTLEMENT_FEED
TXN000055,ACC10058,2024-03-24,2024-03-24,20.0,1.5,USD,CREDIT,ATM,ATM Withdrawal,Home Depot,POSTED,REF887503,CP9868,ATM Withdrawal via ATM,SETTLEMENT_FEED
TXN000056,ACC10068,2024-01-18,2024-01-19,875.2,0.0,USD,CREDIT,MOBILE,Healthcare,ATM Network,POSTED,REF821853,CP3394,Healthcare via MOBILE,SETTLEMENT_FEED
TXN000057,ACC10073,2024-01-09,2024-01-11,86.98,0.0,USD,CREDIT,ONLINE,Grocery,ACME Payroll,POSTED,REF786421,CP7418,Grocery via ONLINE,SETTLEMENT_FEED
TXN000058,ACC10052,2024-04-01,2024-04-01,30.05,0.0,USD,DEBIT,ONLINE,Interest,Uber,POSTED,REF872311,CP4993,Interest via ONLINE,SETTLEMENT_FEED
TXN000059,ACC10000,2024-06-11,2024-06-12,30.86,0.0,EUR,CREDIT,CARD,Travel,CVS Pharmacy,POSTED,REF329184,CP3138,Travel via CARD,SETTLEMENT_FEED
TXN000060,ACC10033,2024-08-04,2024-08-04,7.82,0.0,USD,DEBIT,CARD,Subscription,Whole Foods,POSTED,REF347342,CP5946,Subscription via CARD,SETTLEMENT_FEED
TXN000061,ACC10070,2024-01-21,2024-01-21,36.53,0.0,USD,CREDIT,ACH,Fee,Starbucks,REVERSED,REF674416,CP3666,Fee via ACH,SETTLEMENT_FEED
TXN000062,ACC10062,2024-02-14,2024-02-16,68.66,0.0,EUR,DEBIT,ACH,Utilities,ACME Payroll,POSTED,REF453131,CP5461,Utilities via ACH,SETTLEMENT_FEED
TXN000064,ACC10077,2024-07-31,2024-08-02,44.0,0.0,USD,DEBIT,CARD,ATM Withdrawal,Stripe Payout,POSTED,REF356086,CP4120,ATM Withdrawal via CARD,SETTLEMENT_FEED
TXN000065,ACC10071,2024-03-19,2024-03-21,6306.84,2.5,USD,DEBIT,WIRE,Transfer,ACME Payroll,POSTED,REF369444,CP8690,Transfer via WIRE,SETTLEMENT_FEED
TXN000066,ACC10019,2024-02-07,2024-02-07,65.25,0.0,USD,DEBIT,CARD,Grocery,Delta Air,PENDING,REF626514,CP8053,Grocery via CARD,SETTLEMENT_FEED
TXN000067,ACC10050,2024-05-21,2024-05-22,30.21,0.0,USD,DEBIT,CARD,Healthcare,Amazon,POSTED,REF605953,CP3874,Healthcare via CARD,SETTLEMENT_FEED
TXN000068,ACC10008,2024-08-17,2024-08-19,634.0,0.0,EUR,DEBIT,CHECK,Travel,CVS Pharmacy,SETTLED,REF765324,CP1926,Travel via CHECK,SETTLEMENT_FEED
TXN000069,ACC10023,2024-08-24,2024-08-24,3162.84,15.0,USD,CREDIT,WIRE,Payroll,Delta Air,POSTED,REF866786,CP2004,Payroll via WIRE,SETTLEMENT_FEED
TXN000070,ACC10050,2024-04-17,2024-04-17,427.75,0.0,USD,DEBIT,ACH,Utilities,Uber,POSTED,REF474948,CP2363,Utilities via ACH,SETTLEMENT_FEED
TXN000071,ACC10000,2024-07-26,2024-07-26,72.54,0.0,EUR,CREDIT,ACH,Utilities,Internal Transfer,POSTED,REF469120,CP4881,Utilities via ACH,SETTLEMENT_FEED
TXN000072,ACC10044,2024-02-24,2024-02-24,11.67,0.0,USD,CREDIT,ONLINE,Interest,Chase Settlement,POSTED,REF714931,CP3999,Interest via ONLINE,SETTLEMENT_FEED
TXN000073,ACC10018,2024-08-11,2024-08-11,66.89,0.0,EUR,CREDIT,CARD,Grocery,CVS Pharmacy,POSTED,REF643234,CP1426,Grocery via CARD,SETTLEMENT_FEED
TXN000074,ACC10025,2024-08-11,2024-08-11,548.4,0.0,USD,CREDIT,MOBILE,Retail,Starbucks,POSTED,REF658133,CP5279,Retail via MOBILE,SETTLEMENT_FEED
TXN000075,ACC10019,2024-05-21,2024-05-21,103.31,0.0,USD,DEBIT,CARD,Grocery,ACME Payroll,POSTED,REF512040,CP2464,Grocery via CARD,SETTLEMENT_FEED
TXN000076,ACC10071,2024-02-29,2024-03-02,21.0,0.0,USD,CREDIT,ONLINE,Interest,Fedwire Hub,POSTED,REF986183,CP1714,Interest via ONLINE,SETTLEMENT_FEED
TXN000077,ACC10028,2024-03-17,2024-03-17,853.77,0.0,USD,DEBIT,ONLINE,Retail,Netflix,POSTED,REF672139,CP3858,Retail via ONLINE,SETTLEMENT_FEED
TXN000078,ACC10065,2024-04-02,2024-04-02,140.3,0.0,USD,CREDIT,ACH,Payroll,Chase Settlement,POSTED,REF737281,CP3713,Payroll via ACH,SETTLEMENT_FEED
TXN000079,ACC10059,2024-08-01,2024-08-01,53.65,0.0,GBP,DEBIT,CARD,Retail,Whole Foods,POSTED,REF154205,CP2556,Retail via CARD,SETTLEMENT_FEED
TXN000080,ACC10063,2024-08-09,2024-08-09,1476.69,0.0,EUR,CREDIT,MOBILE,Transfer,City Power,POSTED,REF214218,CP6153,Transfer via MOBILE,SETTLEMENT_FEED
TXN000081,ACC10071,2024-05-08,2024-05-08,116.04,0.0,USD,DEBIT,ONLINE,Utilities,Delta Air,POSTED,REF218825,CP3652,Utilities via ONLINE,SETTLEMENT_FEED
TXN000082,ACC10027,2024-01-13,2024-01-14,705.72,0.0,USD,CREDIT,ONLINE,ATM Withdrawal,Chase Settlement,SETTLED,REF328297,CP6576,ATM Withdrawal via ONLINE,SETTLEMENT_FEED
TXN000083,ACC10048,2024-04-05,2024-04-06,120.3,0.0,USD,CREDIT,CARD,Transfer,Starbucks,POSTED,REF745851,CP9849,Transfer via CARD,SETTLEMENT_FEED
TXN000084,ACC10011,2024-01-09,2024-01-10,56.13,0.0,USD,CREDIT,CARD,Healthcare,Stripe Payout,POSTED,REF184664,CP7949,Healthcare via CARD,SETTLEMENT_FEED
TXN000085,ACC10071,2024-06-12,2024-06-12,28.99,8.34,USD,CREDIT,CARD,Retail,Stripe Payout,POSTED,REF927917,CP8729,Retail via CARD,SETTLEMENT_FEED
TXN000086,ACC10078,2024-07-30,2024-07-31,251.92,0.0,USD,DEBIT,ACH,Subscription,CVS Pharmacy,POSTED,REF565317,CP1798,Subscription via ACH,SETTLEMENT_FEED
TXN000087,ACC10059,2024-07-06,2024-07-06,20.0,15.0,GBP,CREDIT,ATM,Transfer,Fedwire Hub,SETTLED,REF875078,CP8182,Transfer via ATM,SETTLEMENT_FEED
TXN000088,ACC10040,2024-04-19,2024-04-19,1644.28,0.0,GBP,DEBIT,ACH,Retail,Chase Settlement,POSTED,REF747380,CP9380,Retail via ACH,SETTLEMENT_FEED
TXN000089,ACC10071,2024-03-17,2024-03-18,23.65,0.0,USD,DEBIT,CARD,ATM Withdrawal,ATM Network,POSTED,REF618206,CP9417,ATM Withdrawal via CARD,SETTLEMENT_FEED
TXN000090,ACC10040,2024-03-28,2024-03-28,248.14,0.0,GBP,CREDIT,ACH,Healthcare,Delta Air,POSTED,REF716105,CP1420,Healthcare via ACH,SETTLEMENT_FEED
TXN000092,ACC10078,2024-04-19,2024-04-19,57.45,0.0,USD,DEBIT,CARD,Grocery,Whole Foods,POSTED,REF963398,CP3202,Grocery via CARD,SETTLEMENT_FEED
TXN000093,ACC10052,2024-01-27,2024-01-27,40.73,0.0,USD,CREDIT,CARD,Subscription,Delta Air,SETTLED,REF795405,CP9113,Subscription via CARD,SETTLEMENT_FEED
TXN000094,ACC10008,2024-05-21,2024-05-23,326.66,0.0,EUR,DEBIT,MOBILE,Restaurant,Uber,POSTED,REF597607,CP4826,Restaurant via MOBILE,SETTLEMENT_FEED
TXN000095,ACC10007,2024-05-28,2024-05-29,12.14,0.0,GBP,DEBIT,ONLINE,Fee,Amazon,POSTED,REF196000,CP8666,Fee via ONLINE,SETTLEMENT_FEED
TXN000096,ACC10029,2024-07-22,2024-07-22,200.0,0.0,USD,CREDIT,ATM,ATM Withdrawal,ACME Payroll,POSTED,REF795116,CP1388,ATM Withdrawal via ATM,SETTLEMENT_FEED
TXN000097,ACC10016,2024-01-29,2024-01-30,262.41,0.0,USD,DEBIT,MOBILE,Utilities,Whole Foods,PENDING,REF655939,CP2615,Utilities via MOBILE,SETTLEMENT_FEED
TXN000098,ACC10052,2024-07-29,2024-07-30,126.69,0.0,USD,CREDIT,CARD,Utilities,Home Depot,SETTLED,REF405389,CP5813,Utilities via CARD,SETTLEMENT_FEED
TXN000100,ACC10039,2024-05-08,2024-05-08,44.94,0.0,USD,DEBIT,CARD,Utilities,Whole Foods,SETTLED,REF180472,CP5337,Utilities via CARD,SETTLEMENT_FEED
TXN000101,ACC10066,2024-08-18,2024-08-21,224.11,0.0,USD,DEBIT,ACH,Restaurant,City Power,POSTED,REF207057,CP2413,Restaurant via ACH,SETTLEMENT_FEED
TXN000102,ACC10073,2024-05-25,2024-05-27,32.46,0.0,USD,DEBIT,CARD,Subscription,CVS Pharmacy,POSTED,REF855715,CP9896,Subscription via CARD,SETTLEMENT_FEED
TXN000104,ACC10004,2024-07-17,2024-07-17,41.65,0.0,USD,DEBIT,CHECK,Interest,Delta Air,POSTED,REF675111,CP7784,Interest via CHECK,SETTLEMENT_FEED
TXN000105,ACC10000,2024-03-08,2024-03-08,253.31,0.0,EUR,CREDIT,MOBILE,Travel,CVS Pharmacy,POSTED,REF808871,CP6689,Travel via MOBILE,SETTLEMENT_FEED
TXN000106,ACC10039,2024-04-09,2024-04-10,738.54,0.0,USD,CREDIT,MOBILE,Utilities,Netflix,POSTED,REF639725,CP1655,Utilities via MOBILE,SETTLEMENT_FEED
TXN000107,ACC10037,2024-03-23,2024-03-23,355.81,0.0,USD,CREDIT,MOBILE,Transfer,Starbucks,POSTED,REF989172,CP5046,Transfer via MOBILE,SETTLEMENT_FEED
TXN000108,ACC10023,2024-04-18,2024-04-19,100.0,2.5,USD,DEBIT,ATM,Subscription,City Power,POSTED,REF952781,CP7429,Subscription via ATM,SETTLEMENT_FEED
TXN000109,ACC10029,2024-04-06,2024-04-06,100.0,1.5,USD,DEBIT,ATM,Utilities,Internal Transfer,SETTLED,REF397392,CP4773,Utilities via ATM,SETTLEMENT_FEED
TXN000110,ACC10015,2024-04-21,2024-04-21,44.82,0.0,USD,CREDIT,CARD,ATM Withdrawal,Delta Air,POSTED,REF700740,CP2181,ATM Withdrawal via CARD,SETTLEMENT_FEED
TXN000111,ACC10052,2024-01-05,2024-01-06,148.3,0.0,USD,CREDIT,CHECK,Travel,Amazon,SETTLED,REF776120,CP3219,Travel via CHECK,SETTLEMENT_FEED
TXN000112,ACC10073,2024-07-02,2024-07-02,13.47,0.0,USD,CREDIT,ACH,Fee,Fedwire Hub,POSTED,REF919293,CP7673,Fee via ACH,SETTLEMENT_FEED
TXN000113,ACC10016,2024-06-17,2024-06-18,44.52,0.0,USD,DEBIT,CARD,Transfer,Uber,POSTED,REF746195,CP9784,Transfer via CARD,SETTLEMENT_FEED
TXN000114,ACC10041,2024-05-09,2024-05-09,100.0,25.0,EUR,CREDIT,ATM,Utilities,City Power,POSTED,REF499548,CP2587,Utilities via ATM,SETTLEMENT_FEED
TXN000115,ACC10074,2024-03-18,2024-03-19,270.95,0.0,USD,DEBIT,ONLINE,Travel,Internal Transfer,POSTED,REF828229,CP3197,Travel via ONLINE,SETTLEMENT_FEED
TXN000116,ACC10032,2024-08-12,2024-08-14,70.69,0.0,USD,DEBIT,MOBILE,Subscription,Uber,POSTED,REF786330,CP1947,Subscription via MOBILE,SETTLEMENT_FEED
TXN000117,ACC10038,2024-02-27,2024-02-28,12.34,0.0,USD,DEBIT,CARD,Fee,Delta Air,POSTED,REF426282,CP4689,Fee via CARD,SETTLEMENT_FEED
TXN000118,ACC10022,2024-05-17,2024-05-17,230.38,0.0,EUR,DEBIT,ONLINE,Grocery,CVS Pharmacy,POSTED,REF817758,CP2208,Grocery via ONLINE,SETTLEMENT_FEED
TXN000119,ACC10067,2024-07-04,2024-07-04,44.94,0.0,GBP,CREDIT,ACH,Fee,City Power,POSTED,REF951310,CP2385,Fee via ACH,SETTLEMENT_FEED
TXN000120,ACC10002,2024-03-10,2024-03-12,312.23,0.0,GBP,DEBIT,CHECK,Healthcare,ATM Network,POSTED,REF811663,CP3244,Healthcare via CHECK,SETTLEMENT_FEED
TXN000121,ACC10021,2024-06-08,2024-06-09,470.24,0.0,EUR,CREDIT,ONLINE,Grocery,Chase Settlement,POSTED,REF555776,CP5969,Grocery via ONLINE,SETTLEMENT_FEED
TXN000122,ACC10019,2024-01-01,2024-01-03,20.0,25.0,USD,CREDIT,ATM,Transfer,Whole Foods,POSTED,REF185679,CP7149,Transfer via ATM,SETTLEMENT_FEED
TXN000123,ACC10058,2024-03-17,2024-03-17,445.12,0.0,USD,DEBIT,MOBILE,Travel,CVS Pharmacy,POSTED,REF786780,CP4179,Travel via MOBILE,SETTLEMENT_FEED
TXN000124,ACC10025,2024-04-04,2024-04-04,33.95,0.0,USD,CREDIT,ONLINE,Interest,Amazon,PENDING,REF542131,CP2997,Interest via ONLINE,SETTLEMENT_FEED
TXN000125,ACC10071,2024-07-29,2024-07-29,347.94,0.0,USD,CREDIT,ACH,Transfer,Amazon,POSTED,REF559026,CP1475,Transfer via ACH,SETTLEMENT_FEED
TXN000126,ACC10018,2024-03-22,2024-03-23,220.13,0.0,EUR,CREDIT,CARD,Payroll,ACME Payroll,POSTED,REF232177,CP1586,Payroll via CARD,SETTLEMENT_FEED
TXN000127,ACC10068,2024-05-09,2024-05-09,887.53,0.0,USD,CREDIT,ONLINE,Transfer,City Power,POSTED,REF394562,CP7770,Transfer via ONLINE,SETTLEMENT_FEED
TXN000128,ACC10016,2024-03-15,2024-03-15,60.0,0.0,USD,CREDIT,ATM,Transfer,Netflix,POSTED,REF776340,CP9655,Transfer via ATM,SETTLEMENT_FEED
TXN000129,ACC10009,2024-02-12,2024-02-12,294.14,0.0,USD,CREDIT,ACH,Utilities,Chase Settlement,REVERSED,REF868334,CP2234,Utilities via ACH,SETTLEMENT_FEED
TXN000130,ACC10079,2024-02-14,2024-02-16,168.28,0.0,USD,CREDIT,CARD,ATM Withdrawal,CVS Pharmacy,SETTLED,REF273070,CP6553,ATM Withdrawal via CARD,SETTLEMENT_FEED
TXN000131,ACC10017,2024-03-10,2024-03-10,103.46,0.0,USD,DEBIT,CHECK,Restaurant,ATM Network,PENDING,REF433930,CP7394,Restaurant via CHECK,SETTLEMENT_FEED
TXN000132,ACC10037,2024-03-30,2024-03-30,217.7,0.0,USD,CREDIT,ACH,Payroll,Uber,POSTED,REF782118,CP1934,Payroll via ACH,SETTLEMENT_FEED
TXN000133,ACC10066,2024-04-02,2024-04-02,13.62,0.0,USD,CREDIT,CARD,Retail,Internal Transfer,POSTED,REF675438,CP7089,Retail via CARD,SETTLEMENT_FEED
TXN000134,ACC10067,2024-05-23,2024-05-25,352.61,0.0,GBP,CREDIT,ACH,Payroll,Chase Settlement,POSTED,REF901236,CP1855,Payroll via ACH,SETTLEMENT_FEED
TXN000135,ACC10037,2024-08-12,2024-08-12,260.98,0.0,USD,CREDIT,CARD,Subscription,Uber,POSTED,REF371048,CP7115,Subscription via CARD,SETTLEMENT_FEED
TXN000136,ACC10002,2024-01-26,2024-01-26,372.5,0.0,GBP,CREDIT,ACH,Grocery,Netflix,POSTED,REF874252,CP2622,Grocery via ACH,SETTLEMENT_FEED
TXN000138,ACC10002,2024-01-13,2024-01-13,25.8,0.0,GBP,CREDIT,ACH,Restaurant,Amazon,POSTED,REF867143,CP9662,Restaurant via ACH,SETTLEMENT_FEED
TXN000139,ACC10060,2024-05-06,2024-05-06,18.66,0.0,EUR,DEBIT,ONLINE,Fee,ACME Payroll,POSTED,REF521562,CP9536,Fee via ONLINE,SETTLEMENT_FEED
TXN000140,ACC10006,2024-07-11,2024-07-13,74.88,0.0,USD,CREDIT,ONLINE,Transfer,Delta Air,POSTED,REF973795,CP9607,Transfer via ONLINE,SETTLEMENT_FEED
TXN000141,ACC10030,2024-05-20,2024-05-21,9.5,0.0,USD,CREDIT,CARD,Interest,Delta Air,POSTED,REF818672,CP8794,Interest via CARD,SETTLEMENT_FEED
TXN000142,ACC10002,2024-04-15,2024-04-15,47.52,0.0,GBP,CREDIT,CARD,ATM Withdrawal,Chase Settlement,SETTLED,REF939500,CP7573,ATM Withdrawal via CARD,SETTLEMENT_FEED
TXN000143,ACC10031,2024-04-18,2024-04-18,58.66,0.0,USD,DEBIT,CARD,Travel,CVS Pharmacy,POSTED,REF432835,CP3886,Travel via CARD,SETTLEMENT_FEED
TXN000144,ACC10077,2024-03-14,2024-03-14,109.88,0.0,USD,CREDIT,CARD,Utilities,Chase Settlement,POSTED,REF293084,CP8023,Utilities via CARD,SETTLEMENT_FEED
TXN000145,ACC10045,2024-03-02,2024-03-02,80.0,0.0,EUR,DEBIT,ATM,Transfer,Starbucks,POSTED,REF690914,CP9508,Transfer via ATM,SETTLEMENT_FEED
TXN000146,ACC10067,2024-08-22,2024-08-22,134.32,0.0,GBP,DEBIT,MOBILE,Utilities,Fedwire Hub,POSTED,REF606400,CP1749,Utilities via MOBILE,SETTLEMENT_FEED
TXN000147,ACC10002,2024-07-23,2024-07-23,60.0,0.0,GBP,DEBIT,ATM,Retail,ACME Payroll,PENDING,REF942647,CP3976,Retail via ATM,SETTLEMENT_FEED
